SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AIRAN, BE, 03-Jul-2020,12.3,12.2,12.75,11.85,12.5,12.6,12.58,43399,5.46,152, -, -
AISL, SM, 03-Jul-2020,19.85,19.15,19.15,19.15,19.15,19.15,19.15,1200,0.23,1,1200,100
AJANTPHARM, EQ, 03-Jul-2020,1428.95,1435.6,1435.6,1408,1409.5,1409.95,1417.18,108962,1544.19,8693,51586,47.34
AJMERA, EQ, 03-Jul-2020,83.2,83.25,84.45,83,83.2,83.25,83.59,27656,23.12,547,14641,52.94
AJOONI, SM, 03-Jul-2020,8.35,8.4,8.75,8.2,8.75,8.75,8.56,24000,2.05,5,8000,33.33
AKASH, BE, 03-Jul-2020,94.1,94.1,98.75,93.1,98.75,98.25,94.69,4037,3.82,36, -, -
AKG, SM, 03-Jul-2020,35.7,36.5,36.5,36.5,36.5,36.5,36.5,4000,1.46,1,4000,100
AKSHARCHEM, EQ, 03-Jul-2020,231.6,233,254.45,230.1,246.9,247.8,244.87,202617,496.15,6844,73019,36.04
AKSHOPTFBR, BE, 03-Jul-2020,6.5,6.6,6.6,6.2,6.35,6.3,6.35,184896,11.73,431, -, -
AKZOINDIA, EQ, 03-Jul-2020,1800.35,1805,1825,1795,1802,1800.35,1805.8,12405,224.01,1833,9071,73.12
ALANKIT, EQ, 03-Jul-2020,17.75,17.85,18,17.1,17.2,17.25,17.48,175512,30.68,757,122924,70.04
ALBERTDAVD, EQ, 03-Jul-2020,413.65,418.6,418.6,407.8,411.1,411.5,412.18,13198,54.4,864,8248,62.49
ALCHEM, EQ, 03-Jul-2020,5.95,6.2,6.2,5.7,5.7,5.7,5.98,210704,12.6,408,171425,81.36
ALEMBICLTD, EQ, 03-Jul-2020,79.15,79.8,84.75,78.5,83.05,83.4,82.77,1803599,1492.84,13191,943322,52.3
ALICON, EQ, 03-Jul-2020,253.1,257,260.9,252.25,258,259.9,256.06,12079,30.93,185,10497,86.9
ALKALI, EQ, 03-Jul-2020,45.75,46,47.05,44.95,45.8,45.6,45.78,10131,4.64,299,6060,59.82
ALKEM, EQ, 03-Jul-2020,2350.8,2365,2365,2340,2350,2350.8,2352.89,133180,3133.57,13408,101167,75.96
ALKYLAMINE, EQ, 03-Jul-2020,2171.35,2187,2274.7,2133.25,2235,2239.15,2223.51,82147,1826.54,8123,23148,28.18
ALLCARGO, EQ, 03-Jul-2020,81.65,81.65,85.3,80.7,85.15,84.7,83.48,276227,230.59,3854,182376,66.02
ALLSEC, EQ, 03-Jul-2020,182.1,187.6,188.1,182,186,182.2,183,5063,9.27,193,4477,88.43
ALMONDZ, EQ, 03-Jul-2020,11.6,12.4,12.4,11.15,11.45,11.6,11.71,16683,1.95,209,6942,41.61
ALOKINDS, EQ, 03-Jul-2020,55.75,58.5,58.5,53,53,53,55.22,23104991,12758.24,77279,19418148,84.04
ALPA, EQ, 03-Jul-2020,20.55,20.6,21.3,20.1,20.6,20.45,20.52,27215,5.59,287,18991,69.78
ALPHAGEO, EQ, 03-Jul-2020,185.25,185.4,187.85,180,182.1,181.65,183.38,28723,52.67,1206,18714,65.15
ALPSINDUS, BE, 03-Jul-2020,1.6,1.55,1.55,1.55,1.55,1.55,1.55,12229,0.19,40, -, -
AMARAJABAT, EQ, 03-Jul-2020,683.65,689.75,702.5,686.15,687.1,690.6,695.21,2882466,20039.23,47265,296067,10.27
AMBER, EQ, 03-Jul-2020,1440.4,1452,1486.1,1444,1483,1481.55,1471.41,48751,717.33,9466,16360,33.56
AMBIKCO, EQ, 03-Jul-2020,679.45,694.75,696.55,675.3,692,684.1,683.41,4439,30.34,497,2799,63.05
AMBUJACEM, EQ, 03-Jul-2020,193.7,194.6,196.25,192.05,195.8,195.8,194.12,4168369,8091.53,44640,839236,20.13
AMDIND, EQ, 03-Jul-2020,15.65,16,16,15.2,15.5,15.5,15.5,5933,0.92,74,4418,74.46
AMJLAND, EQ, 03-Jul-2020,20.05,20.95,20.95,19.55,20.2,20,20.12,21332,4.29,120,15391,72.15
AMRUTANJAN, EQ, 03-Jul-2020,361.55,363.4,364.35,358,358.55,360.65,359.8,52611,189.3,4028,22348,42.48
ANANTRAJ, EQ, 03-Jul-2020,24.05,25.25,25.25,23.2,23.85,23.5,24.51,538989,132.09,1313,405029,75.15
ANDHRACEMT, BE, 03-Jul-2020,9.2,8.75,8.75,8.75,8.75,8.75,8.75,91673,8.02,465, -, -
ANDHRAPAP, EQ, 03-Jul-2020,236.35,238.5,240.95,233.5,234.9,235.2,237.08,248853,589.97,6837,99081,39.82
ANDHRSUGAR, EQ, 03-Jul-2020,255.65,257.95,258.75,250.65,251.9,251.5,253.89,43432,110.27,1862,23809,54.82
ANIKINDS, EQ, 03-Jul-2020,14.9,15.6,15.6,14.2,15.6,15.6,15.38,180751,27.79,592,148665,82.25
ANSALAPI, BE, 03-Jul-2020,4.25,4.4,4.4,4.15,4.25,4.2,4.25,99984,4.25,122, -, -
ANSALHSG, BE, 03-Jul-2020,4.05,4.25,4.25,4.1,4.25,4.25,4.23,36815,1.56,61, -, -
ANUP, EQ, 03-Jul-2020,403.9,424.05,424.05,424.05,424.05,424.05,424.05,5774,24.48,79,5773,99.98
APARINDS, EQ, 03-Jul-2020,329.55,334.95,334.95,326.05,331.5,331.15,331.15,9729,32.22,536,6751,69.39
APCL, EQ, 03-Jul-2020,136.5,142.35,142.35,134.45,135.5,135.45,136.89,7505,10.27,370,5154,68.67
APCOTEXIND, EQ, 03-Jul-2020,141.45,142.45,142.5,136,136.9,136.55,137.44,107453,147.68,2319,63732,59.31
APEX, EQ, 03-Jul-2020,257.4,258.95,259.15,243.95,246.4,245.7,249.96,230180,575.37,5568,124697,54.17
APLAPOLLO, EQ, 03-Jul-2020,1767.4,1770,1819.95,1753,1777,1784.75,1790.55,92053,1648.25,7361,35106,38.14
APLLTD, EQ, 03-Jul-2020,900.1,907,907,895,896.05,897.2,899.13,115782,1041.03,9324,64003,55.28
APOLLO, EQ, 03-Jul-2020,102.35,104,118.4,103.8,113,113.25,112.72,857545,966.63,13510,215657,25.15
APOLLOHOSP, EQ, 03-Jul-2020,1362.55,1372,1401,1366,1375.9,1379.8,1386.43,1034372,14340.81,45889,241102,23.31
APOLLOPIPE, EQ, 03-Jul-2020,324.05,325,332,322.45,324.25,323.7,326.2,12441,40.58,973,7026,56.47
APOLLOTYRE, EQ, 03-Jul-2020,110.85,111.75,114.85,111.5,114.8,114.25,113.55,9011680,10233.21,38184,1810470,20.09
APOLSINHOT, EQ, 03-Jul-2020,457.55,453.05,495,447.6,462,460.05,464.04,778,3.61,134,575,73.91
APTECHT, EQ, 03-Jul-2020,99.6,100.75,100.9,99,99,99.2,99.91,80652,80.58,1140,42726,52.98
ARCHIDPLY, EQ, 03-Jul-2020,25.8,25.9,26.35,23.05,24.45,24.15,24.15,103141,24.91,1098,51513,49.94
ARCHIES, EQ, 03-Jul-2020,13.9,13.35,13.8,13.25,13.25,13.25,13.31,77637,10.34,245,61307,78.97
ARCOTECH, BE, 03-Jul-2020,3.8,3.95,3.95,3.95,3.95,3.95,3.95,102174,4.04,102, -, -
ARENTERP, EQ, 03-Jul-2020,11.35,11.3,11.3,10.8,11.25,11.25,11,161,0.02,5,151,93.79
ARIES, EQ, 03-Jul-2020,62.8,63.9,63.9,59.7,60,60.25,60.54,66970,40.55,1086,45699,68.24
ARIHANT, EQ, 03-Jul-2020,16.05,15.65,15.9,15.6,15.65,15.65,15.68,825,0.13,12,525,63.64
ARIHANTSUP, BE, 03-Jul-2020,26.6,25.35,27.65,25.3,26.5,26.55,25.88,2849,0.74,27, -, -
ARMANFIN, EQ, 03-Jul-2020,454.85,460,471.1,445,466,462.3,458.7,17743,81.39,874,10613,59.82
AROGRANITE, EQ, 03-Jul-2020,27.1,28,28,25.75,26.1,26.15,26.37,7995,2.11,113,7342,91.83
ARROWGREEN, BE, 03-Jul-2020,43.45,45.6,45.6,45.6,45.6,45.6,45.6,4707,2.15,42, -, -
ARSHIYA, BE, 03-Jul-2020,11.35,11.9,11.9,10.8,10.8,10.8,11.01,39032,4.3,101, -, -
ARSSINFRA, EQ, 03-Jul-2020,15.9,16,16,15.15,15.15,15.15,15.25,19420,2.96,82,17252,88.84
ARTEMISMED, EQ, 03-Jul-2020,178,186.95,186.95,178.1,183,181.4,181.94,2341,4.26,84,1197,51.13
ARVIND, EQ, 03-Jul-2020,32.7,32.9,33.2,32.35,32.7,32.65,32.73,972876,318.44,3453,542770,55.79
ARVINDF-RE, BE, 03-Jul-2020,48.5,48.5,53.5,46.1,51,51.05,50.35,97385,49.03,2113, -, -
ARVINDFASN, EQ, 03-Jul-2020,157.55,159.95,165.4,158,165.4,164.6,163.25,111910,182.7,2420,73112,65.33
ARVSMART, EQ, 03-Jul-2020,73.55,74,80.5,72.4,76,75.95,77.3,202254,156.34,3574,74971,37.07
ASAHIINDIA, EQ, 03-Jul-2020,174.7,176.95,176.95,172.15,174,174.1,173.41,41558,72.06,693,31933,76.84
ASAHISONG, EQ, 03-Jul-2020,149.75,150.6,153,141.9,148.1,148.05,148.36,24057,35.69,793,14731,61.23
ASAL, BE, 03-Jul-2020,21,21.9,22.05,20,20,20,21.11,6988,1.48,32, -, -
ASALCBR, EQ, 03-Jul-2020,251.45,253.9,255,247,248,247.6,250.67,38658,96.9,1333,23330,60.35
ASHAPURMIN, EQ, 03-Jul-2020,47.6,46.05,48.9,45.95,47.4,46.3,46.75,70702,33.05,513,51980,73.52
ASHIANA, EQ, 03-Jul-2020,61.75,63.85,64.8,63.2,64.8,64.8,64.7,71879,46.5,428,62422,86.84
ASHIMASYN, BE, 03-Jul-2020,6.15,6.4,6.4,5.9,6.15,6.1,6.02,53068,3.19,130, -, -
ASHOKA, EQ, 03-Jul-2020,62.75,62.9,63.15,61.7,62.3,62.25,62.32,938959,585.15,4286,314285,33.47
ASHOKLEY, EQ, 03-Jul-2020,49.1,49.6,49.6,48.45,49.1,49.1,49.1,26948876,13231.7,67173,4639966,17.22
ASIANHOTNR, EQ, 03-Jul-2020,53.7,53.8,54.65,53,53.9,53.7,53.64,5516,2.96,181,3777,68.47
ASIANPAINT, EQ, 03-Jul-2020,1686.45,1695.4,1720,1690,1696.65,1695.65,1702.81,1988941,33867.79,96420,548008,27.55
ASIANTILES, EQ, 03-Jul-2020,212.3,215,217.95,211.15,211.15,212.75,213.71,74245,158.67,591,52250,70.38
ASLIND, SM, 03-Jul-2020,6.55,6.25,6.25,6.25,6.25,6.25,6.25,12000,0.75,3,8000,66.67
ASPINWALL, EQ, 03-Jul-2020,124.6,129.5,129.5,122,125.85,123.2,122.92,2488,3.06,85,1923,77.29
ASTEC, EQ, 03-Jul-2020,811.95,825,839.85,817.2,830,825.85,829.12,99316,823.45,5789,35764,36.01
ASTERDM, EQ, 03-Jul-2020,121.35,122.6,122.75,121,121.45,121.45,121.54,451572,548.83,2974,418154,92.6
ASTRAL, EQ, 03-Jul-2020,980.75,984.9,994.45,968.55,979.55,981.55,988.3,802707,7933.13,6895,722397,90
ASTRAMICRO, EQ, 03-Jul-2020,111.55,112.65,113.7,107.55,108.55,109.15,111.08,2046621,2273.39,13462,967571,47.28
ASTRAZEN, EQ, 03-Jul-2020,3542.2,3569,3569,3488.45,3507,3513.65,3508.66,29334,1029.23,3566,8921,30.41
ASTRON, EQ, 03-Jul-2020,40.75,41.5,41.9,39.55,39.7,39.8,39.9,30839,12.3,411,19164,62.14
ATFL, EQ, 03-Jul-2020,527.15,530.25,541.8,527.15,541,539.1,535.63,8178,43.8,689,5293,64.72
ATLANTA, EQ, 03-Jul-2020,10.6,11.1,11.1,10.15,11.1,11.1,10.9,198585,21.65,737,169921,85.57
ATLASCYCLE, BE, 03-Jul-2020,45.05,47.3,47.3,47.3,47.3,47.3,47.3,17490,8.27,115, -, -
ATUL, EQ, 03-Jul-2020,4509.15,4525,4555,4510,4535,4537.45,4535.76,7346,333.2,1308,4357,59.31
ATULAUTO, EQ, 03-Jul-2020,167.75,169.15,170.05,167.15,168.9,168.65,168.65,34628,58.4,790,20908,60.38
AUBANK, EQ, 03-Jul-2020,575.45,588,588,553.35,569.9,566.95,567.59,253264,1437.49,9743,137735,54.38
AURIONPRO, EQ, 03-Jul-2020,50.2,50.2,51.05,48.25,48.5,49.35,49.25,45504,22.41,878,29140,64.04
AUROPHARMA, EQ, 03-Jul-2020,779.85,784.05,790.3,775.7,778.05,777.85,781.73,1415552,11065.86,23858,278605,19.68
AUSOMENT, EQ, 03-Jul-2020,31.45,29.9,30.95,29.3,30.7,29.95,29.94,22268,6.67,194,20177,90.61
AUTOAXLES, EQ, 03-Jul-2020,581.1,584.05,589.9,568.6,574,573.3,577.07,7034,40.59,770,3869,55
AUTOIND, BE, 03-Jul-2020,19.35,20.25,20.25,18.6,19.45,19.25,19.16,8266,1.58,94, -, -
AUTOLITIND, EQ, 03-Jul-2020,17.55,17.1,18,16.75,17,17.15,17.21,8750,1.51,162,4849,55.42
AVADHSUGAR, EQ, 03-Jul-2020,187.1,187.15,190.8,186.2,188.5,187.95,188.84,41127,77.66,975,20567,50.01
AVANTIFEED, EQ, 03-Jul-2020,496.95,500.35,502.2,490,490,491.55,494.79,424103,2098.42,10903,157931,37.24
AVG, SM, 03-Jul-2020,48.85,51.25,51.25,51.25,51.25,51.25,51.25,2400,1.23,2,2400,100
AVTNPL, EQ, 03-Jul-2020,38.9,39,39.4,38.05,38.55,38.25,38.49,59084,22.74,543,41649,70.49
AXISBANK, EQ, 03-Jul-2020,423.2,430,431.6,423.65,429,428.45,427.75,31044470,132792.95,252003,5973108,19.24
AXISCADES, EQ, 03-Jul-2020,56.35,59.15,59.15,59.15,59.15,59.15,59.15,85301,50.46,173,84967,99.61
AXISGOLD, EQ, 03-Jul-2020,4208.75,4377.1,4503.4,4198,4207,4207.75,4207.87,2402,101.07,229,1445,60.16
AXISNIFTY, EQ, 03-Jul-2020,1125.95,1155,1209,1113.9,1118.6,1128.11,1145.25,520,5.96,125,204,39.23
AYMSYNTEX, EQ, 03-Jul-2020,24,24,24.9,23.35,23.55,24.15,24.04,8770,2.11,131,4730,53.93
BABAFOOD, SM, 03-Jul-2020,46.8,47.2,47.2,47.2,47.2,47.2,47.2,2000,0.94,1,2000,100
BAGFILMS, BE, 03-Jul-2020,2.85,2.95,2.95,2.75,2.75,2.75,2.85,250554,7.13,310, -, -
BAJAJ-AUTO, EQ, 03-Jul-2020,2879.35,2899,2960,2887.6,2935.05,2932.4,2930.01,1394994,40873.4,63319,199708,14.32
BAJAJCON, EQ, 03-Jul-2020,146.6,147,148.25,144.5,145.45,145.2,146.04,429867,627.78,9090,276656,64.36
BAJAJELEC, EQ, 03-Jul-2020,389.1,393,393,383.4,384,384.2,387.41,183655,711.5,4978,83046,45.22
BAJAJFINSV, EQ, 03-Jul-2020,6188.8,6220,6238.3,6128,6153.6,6149.4,6180.44,833077,51487.82,73464,72669,8.72
BAJAJHIND, EQ, 03-Jul-2020,6.7,6.5,7,6.5,7,6.9,6.86,5323234,365.33,6534,3405284,63.97
BAJAJHLDNG, EQ, 03-Jul-2020,2586.35,2592.95,2617.95,2536,2545,2546.5,2560.62,64135,1642.25,9593,19785,30.85
BAJFINANCE, EQ, 03-Jul-2020,2964.25,2980,2989.45,2921,2932,2931.5,2955.09,8543799,252477.3,270797,663858,7.77
BALAJITELE, EQ, 03-Jul-2020,79.1,80.15,82.8,78.25,80,80.75,80.75,270397,218.36,3677,162321,60.03
BALAMINES, EQ, 03-Jul-2020,533.95,534,575.95,528.35,557.3,556.2,562.11,1042512,5860.07,25367,179712,17.24
BALAXI, EQ, 03-Jul-2020,127,126,128.95,123.05,126.5,126.3,126.6,1158,1.47,150,903,77.98
BALKRISHNA, BE, 03-Jul-2020,17.25,16.4,16.4,16.4,16.4,16.4,16.4,10796,1.77,53, -, -
BALKRISIND, EQ, 03-Jul-2020,1278.2,1280,1318.9,1271.55,1315,1314.1,1304.55,860881,11230.63,28492,160873,18.69
BALLARPUR, BE, 03-Jul-2020,1.45,1.5,1.5,1.4,1.5,1.5,1.48,12118687,178.83,2426, -, -
BALMLAWRIE, EQ, 03-Jul-2020,111.75,112.5,118,111.25,114.15,113.7,115.55,696603,804.89,7259,215290,30.91
BALPHARMA, EQ, 03-Jul-2020,42.4,43.05,43.8,42.3,42.75,42.7,42.9,5668,2.43,119,4084,72.05
BALRAMCHIN, EQ, 03-Jul-2020,131.55,131.4,132.5,129,131.8,131.65,131.36,1538068,2020.42,11714,770635,50.1
BANARBEADS, EQ, 03-Jul-2020,43.6,42.05,45.35,40.5,42.5,43.05,42.44,22926,9.73,839,6300,27.48
BANARISUG, EQ, 03-Jul-2020,1040,1051.05,1060,1040.6,1060,1056.45,1049.59,1155,12.12,431,543,47.01
BANCOINDIA, EQ, 03-Jul-2020,90.05,90.7,90.8,86.15,87,87.65,88.25,2132559,1882,17485,635288,29.79
BANDHANBNK, EQ, 03-Jul-2020,346.25,347,351.75,336.5,346.8,347.15,342.64,15132955,51852.29,150598,1585838,10.48
BANG, EQ, 03-Jul-2020,18.75,19.3,19.3,18,18.15,18.35,18.49,5460,1.01,48,3611,66.14
BANKA, SM, 03-Jul-2020,68.25,68.25,68.25,68.25,68.25,68.25,68.25,1200,0.82,1,1200,100
BANKBARODA, EQ, 03-Jul-2020,51.5,51.6,51.85,50.55,50.6,50.75,51.03,26626325,13586.64,47615,3627731,13.62
BANKBEES, EQ, 03-Jul-2020,221.51,224.2,224.2,219.57,220.4,220.46,220.95,1130108,2496.95,7513,456636,40.41
BANKINDIA, EQ, 03-Jul-2020,49.95,50.5,52.7,49.2,50.2,50.55,50.5,4885261,2467.14,14707,1125832,23.05
BANSWRAS, EQ, 03-Jul-2020,78.6,77.55,78.7,77.4,78.3,78.2,77.9,4148,3.23,114,3195,77.03
BARTRONICS, BZ, 03-Jul-2020,3.45,3.6,3.6,3.6,3.6,3.6,3.6,38631,1.39,37, -, -
BASF, EQ, 03-Jul-2020,1237.45,1245,1260,1222.85,1237,1241.05,1242.98,112496,1398.3,6566,43157,38.36
BASML, EQ, 03-Jul-2020,101.75,99.8,102.9,97.1,98,97.95,99.38,2232,2.22,151,1761,78.9
BATAINDIA, EQ, 03-Jul-2020,1282.5,1295,1305,1283.6,1295,1298.65,1295.36,2070221,26816.75,49902,758643,36.65
BAYERCROP, EQ, 03-Jul-2020,6202.15,6250,6343.95,6040,6055,6065,6211.6,43363,2693.53,10052,20297,46.81
BBL, EQ, 03-Jul-2020,781.15,785,843.55,778.05,805,808.9,814.71,54954,447.71,4420,19137,34.82
BBTC, EQ, 03-Jul-2020,1030.35,1037.3,1043,1020.1,1030,1029.9,1030.17,48425,498.86,3137,17321,35.77
BCG, BE, 03-Jul-2020,8.9,8.5,9,8.5,8.5,8.5,8.56,2280765,195.16,2500, -, -
BCP, EQ, 03-Jul-2020,5.05,5.05,5.15,4.95,4.95,4.95,5.01,903503,45.29,723,649440,71.88
BDL, EQ, 03-Jul-2020,334.65,350,381,343.1,375.5,374.3,365.85,8764894,32066.74,136956,738007,8.42
BEARDSELL, BE, 03-Jul-2020,8.6,8.8,8.8,8.2,8.2,8.2,8.21,15376,1.26,33, -, -
BEDMUTHA, EQ, 03-Jul-2020,14.25,14.2,14.25,13.75,14.2,13.75,13.95,5173,0.72,28,3573,69.07
BEL, EQ, 03-Jul-2020,89.05,91,97.95,90.5,97.3,97.2,95.02,68446245,65035.98,231437,14907613,21.78
BEML, EQ, 03-Jul-2020,641.35,649.9,672,642.3,657,660.1,658.26,2212911,14566.64,55633,381254,17.23
BEPL, EQ, 03-Jul-2020,51.3,51.75,52.4,48.5,48.95,49.2,50.27,829107,416.76,4928,421992,50.9
BERGEPAINT, EQ, 03-Jul-2020,493.4,495.8,507,494.7,504,503.6,503.07,1662330,8362.72,27155,304356,18.31
BETA, SM, 03-Jul-2020,60,59,59,58.5,58.5,58.5,58.83,2400,1.41,3,2400,100
BFINVEST, EQ, 03-Jul-2020,305.6,306,313.9,302.7,305,304.2,308.76,26682,82.38,2526,9803,36.74
BFUTILITIE, EQ, 03-Jul-2020,198,199.85,203.9,196.6,197,197.8,200.01,180407,360.83,4576,55942,31.01
BGRENERGY, EQ, 03-Jul-2020,34.45,34.7,41.3,33.5,41.3,41.3,39.5,2796621,1104.71,10670,874112,31.26
BHAGERIA, EQ, 03-Jul-2020,118.15,118.7,122.4,117,118.25,118.5,119.96,108485,130.14,2917,42187,38.89
BHAGYANGR, EQ, 03-Jul-2020,17.5,17.05,17.9,17,17.15,17.3,17.53,12887,2.26,116,9628,74.71
BHAGYAPROP, EQ, 03-Jul-2020,21.85,22.75,22.75,21.15,21.25,21.35,21.82,7865,1.72,112,4643,59.03
